time (Julian Date),irradiance,uncertainty
2432721.0,1361.1721,0.011180608
2432722.0,1361.5613,0.010931652
2432723.0,1361.5798,0.010915878
2432724.0,1361.6611,0.010927438
2432725.0,1361.6586,0.011034923
2432726.0,1361.6937,0.012963467
2432727.0,1361.4386,0.014029745
2432728.0,1360.9533,0.013427262
2432729.0,1361.2505,0.012881107
2432730.0,1361.1486,0.013090031
2432731.0,1361.631,0.012755679
2432732.0,1361.0603,0.012359885
2432733.0,1361.2886,0.012208804
2432734.0,1361.5731,0.011594858
2432735.0,1361.6827,0.010926164
2432736.0,1361.999,0.010343247
2432737.0,1361.9671,0.0090590916
2432738.0,1362.0053,0.0082842275
2432739.0,1361.9402,0.0072441292
2432740.0,1361.8323,0.0070878285
2432741.0,1361.7113,0.0068659107
2432742.0,1361.8192,0.008014336
2432743.0,1361.7813,0.0082949291
2432744.0,1361.4469,0.0089320245
2432745.0,1361.5832,0.0092556618
2432746.0,1361.5301,0.0090975788
2432747.0,1361.7079,0.0093579532
2432748.0,1361.7798,0.009966193
2432749.0,1361.9805,0.0098414293
2432750.0,1362.1065,0.0099511873
2432751.0,1362.0463,0.0092251684
2432752.0,1362.1988,0.0088945499
2432753.0,1362.3747,0.010138267
2432754.0,1362.0214,0.0096026769
2432755.0,1361.9496,0.010326471
2432756.0,1361.558,0.0099276319
2432757.0,1361.933,0.010536977
2432758.0,1361.7512,0.011084572
2432759.0,1361.4812,0.009926976
2432760.0,1361.6593,0.010920018
2432761.0,1361.7673,0.011707427
2432762.0,1361.6268,0.011634184
2432763.0,1361.8091,0.011614925
2432764.0,1361.8273,0.011053377
2432765.0,1361.9904,0.011548599
2432766.0,1361.7826,0.010698188
2432767.0,1361.6624,0.011691119
2432768.0,1361.2755,0.013086771
2432769.0,1361.1668,0.011920839
2432770.0,1360.9576,0.010288135
2432771.0,1361.0595,0.010069086
2432772.0,1361.2083,0.0097821147
2432773.0,1361.1533,0.0072373237
2432774.0,1361.1471,0.00680722
2432775.0,1361.6114,0.0074413136
2432776.0,1361.9594,0.0082760189
2432777.0,1361.5047,0.0062889846
2432778.0,1361.594,0.0072655442
2432779.0,1361.7224,0.0073188958
2432780.0,1361.6729,0.0078576686
2432781.0,1361.6337,0.0082840213
2432782.0,1361.5608,0.0091189197
2432783.0,1361.4929,0.010881887
2432784.0,1361.6763,0.011158083
2432785.0,1361.1248,0.0097833061
2432786.0,1361.6757,0.0098611899
2432787.0,1361.8218,0.0097606487
2432788.0,1361.4221,0.0073299852
2432789.0,1361.5831,0.0073928035
2432790.0,1361.6408,0.0080929515
2432791.0,1361.428,0.0080186069
2432792.0,1361.4405,0.0080147116
2432793.0,1361.5599,0.0076490766
2432794.0,1361.3029,0.0066987171
2432795.0,1361.3591,0.0067867712
2432796.0,1361.2164,0.0069211196
2432797.0,1361.0311,0.0063094621
2432798.0,1360.7419,0.0061883603
2432799.0,1360.9016,0.0057940985
2432800.0,1361.0457,0.0056226011
2432801.0,1361.3157,0.0058736374
2432802.0,1361.393,0.0051448099
2432803.0,1361.6888,0.0055528698
2432804.0,1361.7314,0.0055361795
2432805.0,1361.7851,0.0057668296
2432806.0,1361.8337,0.0065400661
2432807.0,1361.7793,0.0079210392
2432808.0,1361.8988,0.0089179447
2432809.0,1361.8804,0.0096397667
2432810.0,1361.4242,0.010148658
2432811.0,1361.5344,0.010952638
2432812.0,1361.1435,0.011113321
2432813.0,1361.0673,0.013192026
2432814.0,1361.5361,0.013946774
2432815.0,1361.3669,0.012855592
2432816.0,1361.3959,0.011731658
2432817.0,1361.1747,0.010870377
2432818.0,1361.1142,0.01004429
2432819.0,1361.4929,0.0091644389
