time (days since 1610-01-01),irradiance (W/m^2),uncertainty (W/m^2)
120147.0,1361.094482421875,0.6766530871391296
120178.0,1361.3411865234375,0.5853782892227173
120209.0,1361.3157958984375,0.540813148021698
120237.0,1361.4708251953125,0.5025646686553955
120268.0,1361.116943359375,0.7220807671546936
120298.0,1361.551513671875,0.7328740954399109
120329.0,1361.6810302734375,0.6403101086616516
120359.0,1360.8870849609375,0.6767607927322388
120390.0,1360.6353759765625,0.7183999419212341
120421.0,1360.256591796875,0.7827430367469788
120451.0,1360.8111572265625,0.637709379196167
120482.0,1360.9212646484375,0.5099053382873535
120512.0,1361.118408203125,0.3817850947380066
120543.0,1360.65869140625,0.4399318993091583
120574.0,1360.8863525390625,0.4401198625564575
120603.0,1360.869873046875,0.5394057035446167
120634.0,1361.3077392578125,0.436784952878952
120664.0,1361.131591796875,0.41456809639930725
120695.0,1360.953857421875,0.515286922454834
120725.0,1361.284423828125,0.4654730260372162
120756.0,1360.6551513671875,0.6097196340560913
120787.0,1361.0125732421875,0.44345182180404663
120817.0,1360.888916015625,0.42610985040664673
120848.0,1361.213623046875,0.4019613564014435
120878.0,1361.127685546875,0.4341762661933899
120909.0,1361.122802734375,0.3447020947933197
120940.0,1361.0526123046875,0.33413147926330566
120968.0,1361.0093994140625,0.32624268531799316
120999.0,1360.9364013671875,0.2666652202606201
121029.0,1361.029052734375,0.2522513270378113
121060.0,1360.8502197265625,0.35714098811149597
121090.0,1360.87451171875,0.39940595626831055
121121.0,1360.978759765625,0.3868417739868164
121152.0,1360.6380615234375,0.42021405696868896
121182.0,1360.710693359375,0.3347560465335846
121213.0,1360.7926025390625,0.2749387323856354
121243.0,1360.941162109375,0.2537533938884735
121274.0,1360.95654296875,0.25653108954429626
121305.0,1360.6739501953125,0.34077030420303345
121333.0,1360.7764892578125,0.3401416540145874
121364.0,1360.777587890625,0.3547874689102173
121394.0,1360.9520263671875,0.2149752676486969
121425.0,1360.785888671875,0.13891418278217316
121455.0,1360.6884765625,0.14143195748329163
121486.0,1360.7557373046875,0.15917514264583588
121517.0,1360.83056640625,0.14247378706932068
121547.0,1360.7882080078125,0.15220907330513
121578.0,1360.6683349609375,0.2063036561012268
121608.0,1360.8231201171875,0.1662992388010025
121639.0,1360.81689453125,0.11890436708927155
121670.0,1360.501220703125,0.18891306221485138
121698.0,1360.5269775390625,0.18200808763504028
121729.0,1360.4232177734375,0.19969598948955536
121759.0,1360.67529296875,0.1179991066455841
121790.0,1360.723876953125,0.08485439419746399
121820.0,1360.6204833984375,0.10701596736907959
121851.0,1360.7763671875,0.11647479236125946
121882.0,1360.622802734375,0.08982766419649124
121912.0,1360.563232421875,0.0920105054974556
121943.0,1360.6546630859375,0.08001323789358139
121973.0,1360.5936279296875,0.10595857352018356
122004.0,1360.6396484375,0.04991372302174568
122035.0,1360.61572265625,0.039228394627571106
