irradiance,time,uncertainty
1360.7034912109375,1975-166-06,0.061018433421850204
1360.6541748046875,1975-196-07,0.10142006725072861
1360.5084228515625,1975-227-08,0.16936470568180084
1360.8387451171875,1975-258-09,0.08385372906923294
1360.7734375,1975-288-10,0.07946524024009705
1360.7691650390625,1975-319-11,0.10827921330928802
1360.737548828125,1975-349-12,0.06896470487117767
1360.709716796875,1976-15-01,0.07945102453231812
1360.709716796875,1976-46-02,0.053309325128793716
1360.574951171875,1976-75-03,0.10125083476305008
1360.633544921875,1976-106-04,0.11527799069881439
1360.758544921875,1976-136-05,0.0739627331495285
1360.7054443359375,1976-167-06,0.06282676011323929
1360.679443359375,1976-197-07,0.038115788251161575
1360.666259765625,1976-228-08,0.09676475822925568
1360.72265625,1976-259-09,0.08282670378684998
1360.7923583984375,1976-289-10,0.09579627215862274
1360.7127685546875,1976-320-11,0.06069566681981087
1360.6707763671875,1976-350-12,0.07794850319623947
1360.7567138671875,1977-15-01,0.07843296974897385
1360.8641357421875,1977-46-02,0.12344299256801605
1360.7532958984375,1977-74-03,0.06092046946287155
1360.81640625,1977-105-04,0.09678719192743301
1360.908447265625,1977-135-05,0.11315623670816422
1360.7105712890625,1977-166-06,0.2010180801153183
1360.898681640625,1977-196-07,0.12019577622413635
1360.934326171875,1977-227-08,0.14923492074012756
1360.6644287109375,1977-258-09,0.24251554906368256
1360.9041748046875,1977-288-10,0.22840137779712677
1361.2930908203125,1977-319-11,0.22678986191749573
1361.1768798828125,1977-349-12,0.2867046892642975
1361.2691650390625,1978-15-01,0.27665090560913086
1360.8037109375,1978-46-02,0.49511516094207764
1361.1087646484375,1978-74-03,0.4027305543422699
1361.0684814453125,1978-105-04,0.46105119585990906
1361.238037109375,1978-135-05,0.4659595787525177
1361.4176025390625,1978-166-06,0.45032691955566406
1361.4482421875,1978-196-07,0.4022989869117737
1361.5439453125,1978-227-08,0.3242941200733185
1361.1170654296875,1978-258-09,0.5990464091300964
1361.53955078125,1978-288-10,0.5285876393318176
1361.2813720703125,1978-319-11,0.4892313778400421
1360.7186279296875,1978-349-12,0.6770310997962952
1361.313232421875,1979-15-01,0.7886900901794434
1361.7261962890625,1979-46-02,0.7791278958320618
1362.176025390625,1979-74-03,0.6974954605102539
1361.6512451171875,1979-105-04,0.6609500050544739
1361.765869140625,1979-135-05,0.6327810287475586
1361.0294189453125,1979-166-06,0.7736872434616089
1361.5511474609375,1979-196-07,0.6445699334144592
1361.5234375,1979-227-08,0.6780860424041748
1361.5052490234375,1979-258-09,0.7643591165542603
1361.544921875,1979-288-10,0.8409714698791504
1361.4639892578125,1979-319-11,0.9737277626991272
1361.954833984375,1979-349-12,0.7318657040596008
1361.9051513671875,1980-15-01,0.7459477782249451
1361.6334228515625,1980-46-02,0.7385649681091309
1362.0703125,1980-75-03,0.5869831442832947
1361.2672119140625,1980-106-04,0.8254302144050598
1361.4224853515625,1980-136-05,0.9237467646598816
1361.795166015625,1980-167-06,0.7048351168632507
1361.7138671875,1980-197-07,0.7113695740699768
1361.714111328125,1980-228-08,0.6112273931503296
1361.5869140625,1980-259-09,0.6991972923278809
1361.539794921875,1980-289-10,0.7835655212402344
1360.997314453125,1980-320-11,0.8736971020698547
1362.0008544921875,1980-350-12,0.8236517310142517
1362.09912109375,1981-15-01,0.5960073471069336
1361.5665283203125,1981-46-02,0.7448030114173889
1361.76708984375,1981-74-03,0.7988471984863281
1362.1214599609375,1981-105-04,0.8203104138374329
1361.7181396484375,1981-135-05,0.7801475524902344
1361.5794677734375,1981-166-06,0.585109531879425
